Name;Type
accessRole;RecordRef
accountNumber;string
addressbookList;CustomerAddressbookList
aging;double
aging1;double
aging2;double
aging3;double
aging4;double
alcoholRecipientType;AlcoholRecipientType
altEmail;string
altName;string
altPhone;string
assignedWebSite;RecordRef
balance;double
billPay;boolean
buyingReason;RecordRef
buyingTimeFrame;RecordRef
campaignCategory;RecordRef
category;RecordRef
clickStream;string
comments;string
companyName;string
consolAging;double
consolAging1;double
consolAging2;double
consolAging3;double
consolAging4;double
consolBalance;double
consolDaysOverdue;long
consolDepositBalance;double
consolOverdueBalance;double
consolUnbilledOrders;double
contactRolesList;ContactAccessRolesList
contribPct;string
creditCardsList;CustomerCreditCardsList
creditHoldOverride;CustomerCreditHoldOverride
creditLimit;double
currency;RecordRef
currencyList;CustomerCurrencyList
customFieldList;CustomFieldList
customForm;RecordRef
dateCreated;dateTime
daysOverdue;long
defaultAddress;string
defaultAllocationStrategy;RecordRef
defaultOrderPriority;double
defaultTaxReg;RecordRef
depositBalance;double
displaySymbol;string
downloadList;CustomerDownloadList
drAccount;RecordRef
email;string
emailPreference;EmailPreference
emailTransactions;boolean
endDate;dateTime
entityId;string
entityStatus;RecordRef
estimatedBudget;double
fax;string
faxTransactions;boolean
firstName;string
firstVisit;dateTime
fxAccount;RecordRef
giveAccess;boolean
globalSubscriptionStatus;GlobalSubscriptionStatus
groupPricingList;CustomerGroupPricingList
homePhone;string
image;RecordRef
isBudgetApproved;boolean
isInactive;boolean
isPerson;boolean
itemPricingList;CustomerItemPricingList
keywords;string
language;Language
lastModifiedDate;dateTime
lastName;string
lastPageVisited;string
lastVisit;dateTime
leadSource;RecordRef
middleName;string
mobilePhone;string
monthlyClosing;CustomerMonthlyClosing
negativeNumberFormat;CustomerNegativeNumberFormat
numberFormat;CustomerNumberFormat
openingBalance;double
openingBalanceAccount;RecordRef
openingBalanceDate;dateTime
overdueBalance;double
overrideCurrencyFormat;boolean
parent;RecordRef
partner;RecordRef
partnersList;CustomerPartnersList
password;string
password2;string
phone;string
phoneticName;string
prefCCProcessor;RecordRef
priceLevel;RecordRef
printOnCheckAs;string
printTransactions;boolean
receivablesAccount;RecordRef
referrer;string
reminderDays;long
representingSubsidiary;RecordRef
requirePwdChange;boolean
resaleNumber;string
salesGroup;RecordRef
salesReadiness;RecordRef
salesRep;RecordRef
salesTeamList;CustomerSalesTeamList
salutation;string
sendEmail;boolean
shipComplete;boolean
shippingItem;RecordRef
sourceWebSite;RecordRef
stage;CustomerStage
startDate;dateTime
subscriptionsList;SubscriptionsList
subsidiary;RecordRef
symbolPlacement;CurrencySymbolPlacement
syncPartnerTeams;boolean
taxable;boolean
taxExempt;boolean
taxItem;RecordRef
taxRegistrationList;CustomerTaxRegistrationList
terms;RecordRef
territory;RecordRef
thirdPartyAcct;string
thirdPartyCarrier;CustomerThirdPartyCarrier
thirdPartyCountry;Country
thirdPartyZipcode;string
title;string
unbilledOrders;double
url;string
vatRegNumber;string
visits;long
webLead;string
